frequency_auc,k_on,master_seed,matched_pair_misordering,mean_active_increment,mean_coalition_score,mean_inactive_increment,mean_normal_score,mean_score_gap,mean_signed_increment,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc
1.0,1200,27001,0.0,0.2730321280674612,67.98499988879783,0.00021240795501591657,4.540757011998215,63.44424287679961,0.028517453916682114,1.5572471247995983,0.10375,1.5,0.1,1.0
1.0,600,27001,0.0,0.18112590913090054,43.95925814606957,0.00022290255188476667,5.873515804591049,38.08574234147852,0.03681053563249071,1.5178468963408134,0.20225,1.5,0.2,1.0
1.0,400,27001,0.0,0.1312281572343557,32.098407259523405,0.00029441047471431223,6.433976544317436,25.66443071520597,0.04032740354647467,1.5297295049236215,0.30575,1.5,0.3,1.0
1.0,300,27001,0.0,0.09957592388782577,24.017712841743574,0.00036700730377154555,6.420207653056835,17.59750518868674,0.04024899177056134,1.5084658895649121,0.402,1.5,0.4,1.0
1.0,240,27001,0.0,0.07772498533280116,18.6073614886726,0.0004165552606120311,6.217988534684948,12.38937295398765,0.038974134759116354,1.4972086814338306,0.49875,1.5,0.5,1.0
1.0,200,27001,0.0,0.06269111658748416,15.190057549147411,0.0005962005841124257,6.097344822000782,9.09271272714663,0.03821019595315485,1.5153452945339063,0.60575,1.5,0.6,1.0
1.0,171,27001,0.0,0.050659343930869676,12.205811667359812,0.00042118966486692305,5.713804728754326,6.492006938605487,0.03581396934526586,1.5068335943859053,0.7045,1.5,0.7,1.0
1.0,150,27001,0.0,0.04257478626685693,10.444659440916677,0.0008544743416985146,5.579799449527885,4.864859991388792,0.0349712594184968,1.5342636581986402,0.81775,1.5,0.8,1.0
1.0,133,27001,0.0,0.03568942547828312,8.641355678067518,0.000673383149693693,5.192365665416572,3.4489900126509454,0.03254673567929223,1.5142602247501602,0.91025,1.5,0.9,1.0
1.0,120,27001,0.0,0.030399879450388564,7.295971068093255,nan,4.851595706320848,2.4443753617724076,0.030399879450388564,1.500961084144191,1.0,1.5,1.0,0.999885
1.0,1600,27001,0.0,0.30773941375453834,102.16948536650673,0.00021240795501591657,5.114844806472506,97.05464056003423,0.03211833480671636,2.0763294997327977,0.10375,2.0,0.1,1.0
1.0,800,27001,0.0,0.21816490072554545,70.59816187478657,0.00022290255188476667,7.07017274434167,63.5279891304449,0.04430167168250765,2.023795861787751,0.20225,2.0,0.2,1.0
1.0,533,27001,0.0,0.16581634101464182,54.044437118731715,0.00029441047471431223,8.120678682248295,45.92375843648342,0.05090274073729715,2.038364565310726,0.30575,2.0,0.3,1.0
1.0,400,27001,0.0,0.1316035684020176,42.32370759808886,0.00036700730377154555,8.47653467356925,33.84717292451961,0.053124104865266454,2.011287852753216,0.402,2.0,0.4,1.0
1.0,320,27001,0.0,0.10535681038496018,33.629893874879286,0.0004165552606120311,8.418173969695406,25.21171990518388,0.05275550750388067,1.9962782419117744,0.49875,2.0,0.5,1.0
1.0,267,27001,0.0,0.08826015919850143,28.549557826018862,0.0005962005841124257,8.569278889105341,19.98027893691352,0.053698643514778564,2.022985968202765,0.60575,2.0,0.6,1.0
1.0,229,27001,0.0,0.07396031493966632,23.86410917874767,0.00042118966486692305,8.335714839088858,15.52839433965881,0.0522295034209631,2.017923351546037,0.7045,2.0,0.7,1.0
1.0,200,27001,0.0,0.06269434855101431,20.50732141103678,0.0008544743416985146,8.211347940496067,12.295973470540714,0.05142403147636652,2.0456848775981866,0.81775,2.0,0.8,1.0
1.0,178,27001,0.0,0.053291972994433494,17.269210556873183,0.000673383149693693,7.755003451136037,9.514207105737146,0.0485694545558681,2.026603909816004,0.91025,2.0,0.9,1.0
1.0,160,27001,0.0,0.04587311260269024,14.679396032860877,nan,7.324176731987187,7.35521930087369,0.04587311260269024,2.001281445525588,1.0,2.0,1.0,1.0
0.0,200,27002,0.0005,0.0637002491352308,2.579860089976848,0.00032596058931490815,1.0747256144340842,1.5051344755427636,0.006742607304588893,0.25304181250413926,0.10125,0.25,0.1,0.99985
0.0,100,27002,0.3385,0.02234010937681663,0.8947213805415059,0.0005513651882351289,0.7852470585380983,0.10947432200340756,0.0049145612119985745,0.25023023680964884,0.20025,0.25,0.2,0.6448275
0.0,67,27002,0.7185,0.010939825848499845,0.4518749765852103,0.0006196144064748375,0.6074838099097373,-0.15560883332452696,0.0038008195834790463,0.2580745329972771,0.30825,0.25,0.3,0.28342309999999993
0.0,50,27002,0.7845,0.006165089605660036,0.24999438350951442,0.0005560596174033117,0.452855752598887,-0.20286136908937258,0.0028305212776414132,0.2533542098035271,0.4055,0.25,0.4,0.21081875
0.0,40,27002,0.8085,0.004189695054435102,0.17068817651768603,0.0007261959284912212,0.3986737887303959,-0.22798561221270985,0.0024899828583781424,0.25454131954120074,0.50925,0.25,0.5,0.189959
0.0,33,27002,0.8175,0.003000438981154429,0.12089668786765544,0.0007453250821389347,0.3390454592715397,-0.21814877140388422,0.0021220721174878944,0.25174848768467367,0.6105,0.25,0.6,0.18588215
0.0,29,27002,0.815,0.00243592674866297,0.10084127757777529,0.0007070161098930092,0.31120462777485824,-0.21036335019708297,0.0019410260783150682,0.25864934402815076,0.71375,0.25,0.7,0.19127205
0.0,25,27002,0.813,0.0020883422885358046,0.08421240278520632,0.0005999212368491152,0.2879684285681981,-0.2037560257829918,0.00180033281503443,0.25194842195628186,0.8065,0.25,0.8,0.19556875
0.0,22,27002,0.786,0.0016185677482034911,0.06475403990237708,0.0008382203954584709,0.2469690705496968,-0.18221503064731973,0.0015477512259418806,0.2499615751321753,0.90925,0.25,0.9,0.21998654999999998
