horizon,raw_mean,raw_ci_lower,raw_ci_upper,centered_mean,centered_ci_lower,centered_ci_upper
2114,95.79180570918201,95.48098,96.09524,-0.022530652085025856,-0.32767597,0.28296512
2115,95.83189261135286,95.52141,96.13437,-0.028013716996860474,-0.3308097,0.27651697
2116,95.87958585614932,95.56962,96.18089,-0.025776024049319928,-0.32993755,0.2774412
2117,95.9288595642025,95.618866,96.22993,-0.02167493277140465,-0.32362872,0.28197664
2118,95.97147995956158,95.66115,96.2732,-0.024265638701140988,-0.3279051,0.28046557
2119,96.0197898096979,95.708084,96.3223,-0.021543343858230327,-0.32544908,0.2846076
2120,96.06432333324668,95.75261,96.36647,-0.022383082072754724,-0.32675645,0.28490007
2121,96.10895707164019,95.796585,96.413345,-0.02303685035195834,-0.32883185,0.28522846
2122,96.15398869482296,95.84178,96.45631,-0.02354515743817349,-0.32888868,0.28484696
2123,96.19576731025,95.88293,96.5004,-0.026844642810493154,-0.3327739,0.28202787
2124,96.23938143295767,95.927055,96.54318,-0.028711177604638073,-0.33406752,0.27907437
2125,96.28803732862505,95.97437,96.592636,-0.025351152648817113,-0.33199307,0.28497303
2126,96.33524926935527,96.02295,96.63895,-0.02359167007292978,-0.3311836,0.2858951
2127,96.38066682911145,96.067665,96.684616,-0.023519369195734958,-0.33180693,0.2853648
2128,96.42278246634874,96.111084,96.725044,-0.026719943234993864,-0.33355114,0.28016034
2129,96.46794541814738,96.15404,96.77249,-0.026909917075929532,-0.33545426,0.28233108
2130,96.51085392592353,96.19578,96.81584,-0.02902916218894599,-0.33787358,0.28062794
2131,96.55184457045829,96.23612,96.85731,-0.03336926503539581,-0.3432399,0.2772795
2132,96.59874239937713,96.28373,96.904564,-0.031655637945490485,-0.3407312,0.27779543
2133,96.64559608605363,96.3304,96.95265,-0.030170333622195084,-0.33970663,0.2792883
2134,96.69172703168992,96.3765,97.00116,-0.02946897956925975,-0.3380379,0.28064537
2135,96.73728412300828,96.42197,97.0463,-0.02916750841018075,-0.34065714,0.28159285
2136,96.78497797158221,96.46898,97.09281,-0.026593548324056915,-0.336561,0.28418353
2137,96.82874383617704,96.51468,97.13589,-0.028139516964514884,-0.33759522,0.28278893
2138,96.87206352506328,96.55803,97.17954,-0.030293785329532457,-0.34127587,0.2802028
2139,96.91754500968798,96.602875,97.2271,-0.030042764827532882,-0.33928758,0.2822854
2140,96.96234231527633,96.64661,97.27226,-0.03069777422260159,-0.34040514,0.28228647
2141,97.00411033527683,96.68774,97.313416,-0.03421462307874401,-0.3435233,0.27765718
2142,97.04889675939197,96.73214,97.358315,-0.03484253644929145,-0.34493563,0.2771969
2143,97.09146744998397,96.77328,97.401474,-0.03764122830870969,-0.3486174,0.27546078
2144,97.1397568612853,96.82381,97.45153,-0.03457218671199414,-0.34389114,0.279913
2145,97.19136529714804,96.87638,97.500885,-0.028061603542540784,-0.33581132,0.28273708
2146,97.23922171999334,96.92215,97.55123,-0.02539344828460386,-0.3334017,0.28737828
2147,97.28170039338171,96.964424,97.594345,-0.028235814646086505,-0.33901852,0.28698748
2148,97.33366349256987,97.0151,97.64844,-0.02184636614848967,-0.33400837,0.29582816
2149,97.37622342103805,97.05745,97.691696,-0.024837242328550273,-0.33841377,0.29267418
2150,97.41989296372942,97.100044,97.735306,-0.02653546665187268,-0.34026307,0.29142758
2151,97.46354725340393,97.14601,97.7765,-0.028184576289949834,-0.3400664,0.2891763
2152,97.51107967541927,97.19111,97.82768,-0.026037267515332634,-0.34073532,0.29387617
2153,97.55275120958304,97.23309,97.86858,-0.02985698859001076,-0.344108,0.28885937
2154,97.59880024232197,97.277885,97.91641,-0.0291096545294502,-0.34352145,0.29103178
2155,97.64913548444595,97.33272,97.96264,-0.024117099357700563,-0.33624035,0.29278377
2156,97.69107773881619,97.37417,98.00423,-0.027515584155691768,-0.33861256,0.2893418
2157,97.73608080576317,97.417305,98.051155,-0.027498881985981893,-0.33957928,0.28965807
2158,97.77753936970059,97.45993,98.09155,-0.031205285114684293,-0.34441793,0.28674203
2159,97.82080487957246,97.50286,98.13588,-0.03344270755444549,-0.3480887,0.28436384
2160,97.86527602211956,97.546936,98.18151,-0.034296140465416694,-0.34970725,0.28430954
2161,97.91096018720812,97.59107,98.22989,-0.0338698405431743,-0.35100538,0.2866025
2162,97.95446085991492,97.63127,98.275475,-0.03563371507282428,-0.3563856,0.287571
2163,97.99642672750034,97.67322,98.318306,-0.03924797915396507,-0.35984722,0.2827803
2164,98.04209096414644,97.718346,98.3634,-0.03882066069168055,-0.35918528,0.28389975
2165,98.08974992136565,97.767845,98.408646,-0.036661010679500144,-0.3559076,0.2830021
2166,98.13386737930553,97.81474,98.45036,-0.037935785950498895,-0.35597852,0.2798118
2167,98.17731718020725,97.8569,98.49364,-0.039912482442438425,-0.35669625,0.2782388
2168,98.2216153216185,97.900894,98.53838,-0.04108084429545725,-0.35820267,0.2766801
2169,98.27235772288282,97.95055,98.58965,-0.035873210947867565,-0.35428542,0.2821535
2170,98.31426449391653,97.99454,98.63009,-0.03955801416772553,-0.35626048,0.27827418
2171,98.35971393048068,98.03898,98.67383,-0.03948871484610298,-0.3547402,0.27744937
2172,98.40960690796827,98.0883,98.72366,-0.035195802974409815,-0.35054,0.28220117
2173,98.45677754658556,98.138084,98.768684,-0.03349047188132407,-0.34670487,0.28206816
2174,98.50436388932869,98.186295,98.814,-0.03140425096489534,-0.34417832,0.2819898
2175,98.54604008092305,98.226746,98.85586,-0.0349850519135179,-0.3482532,0.2784845
2176,98.5873200916355,98.26695,98.89952,-0.0388284978225628,-0.3535902,0.2764351
2177,98.63378659295931,98.31677,98.94357,-0.03727646718989612,-0.3491921,0.2758911
2178,98.68119673996497,98.363594,98.99075,-0.03517863367280659,-0.34725115,0.2779833
2179,98.73015008239149,98.4124,99.04191,-0.03174640157796498,-0.3455479,0.28358436
2180,98.77453031777823,98.45651,99.08546,-0.032473811489921046,-0.3471962,0.2818632
2181,98.81643985018565,98.49773,99.12987,-0.03586461182053877,-0.35089564,0.27881268
2182,98.85917036087682,98.53905,99.172134,-0.03853325509068703,-0.35374412,0.27499372
2183,98.90607021117785,98.58627,99.22001,-0.03692443869104714,-0.35280344,0.27799135
2184,98.94961497432027,98.63083,99.26187,-0.038676087872175496,-0.35377565,0.27543965
2185,98.98996343206973,98.67086,99.30471,-0.04381160436399072,-0.35967058,0.27140063
2186,99.03116745868041,98.712845,99.34419,-0.048071011557457334,-0.3636071,0.26732194
2187,99.07491189551283,98.756226,99.38832,-0.04974087729239493,-0.36523557,0.2650336
2188,99.11801187255355,98.798645,99.43048,-0.052022330310539044,-0.367012,0.26227444
2189,99.16287470292237,98.844604,99.475914,-0.05222673505029127,-0.3666908,0.26178962
2190,99.21035216486976,98.89183,99.52461,-0.050254814575717614,-0.36581832,0.26515263
2191,99.25352458184214,98.93223,99.570206,-0.0525037688936661,-0.36900082,0.26433086
2192,99.29766519042018,98.975784,99.615875,-0.0533742229202329,-0.3696373,0.26410124
2193,99.34290760708407,99.02084,99.65994,-0.05347082400239485,-0.36857402,0.26420748
2194,99.38671956892182,99.0641,99.703156,-0.054944023810775025,-0.37101358,0.26327407
2195,99.43006998199454,99.10741,99.747055,-0.05689312655740601,-0.3738356,0.26097608
2196,99.47467432707658,99.15131,99.79356,-0.0574134535326227,-0.37412173,0.26060018
2197,99.51727639500554,99.192955,99.83779,-0.0601545357830894,-0.37859908,0.25965437
2198,99.56063145920474,99.238205,99.88031,-0.06243402945200739,-0.37940487,0.2560983
2199,99.6068440035634,99.2867,99.92409,-0.06156185884924201,-0.37729025,0.25524613
2200,99.66142402412362,99.341675,99.97777,-0.052004157702322994,-0.36480173,0.2637074
2201,99.70874690095033,99.39021,100.02434,-0.0501309610422889,-0.36234626,0.26480103
2202,99.75433294095346,99.43674,100.06822,-0.04988794615375179,-0.3619023,0.2639525
2203,99.79898838731289,99.48054,100.11524,-0.050724407704701296,-0.36472726,0.26624632
2204,99.84894702606735,99.53123,100.16499,-0.046129424386317314,-0.36077988,0.2702934
2205,99.89209385258974,99.57469,100.20868,-0.04826766758723287,-0.36292958,0.26803645
2206,99.94039673465194,99.626396,100.25614,-0.04515861925262406,-0.35589424,0.26930612
2207,99.98617481220384,99.672134,100.29863,-0.044681327405992136,-0.35523978,0.26914373
2208,100.0284626513058,99.712814,100.34186,-0.04743750935644083,-0.35928354,0.26696232
2209,100.06793942550236,99.751854,100.38174,-0.053277600355090944,-0.365365,0.26284814
