requested_R_exp,requested_p_on,n_seeds,realized_R_exp_mean,realized_R_exp_ci_lower,realized_R_exp_ci_upper,realized_R_exp_n_finite,realized_R_exp_status,realized_p_on_mean,realized_p_on_ci_lower,realized_p_on_ci_upper,realized_p_on_n_finite,realized_p_on_status,mean_signed_increment_mean,mean_signed_increment_ci_lower,mean_signed_increment_ci_upper,mean_signed_increment_n_finite,mean_signed_increment_status,mean_active_increment_mean,mean_active_increment_ci_lower,mean_active_increment_ci_upper,mean_active_increment_n_finite,mean_active_increment_status,mean_inactive_increment_mean,mean_inactive_increment_ci_lower,mean_inactive_increment_ci_upper,mean_inactive_increment_n_finite,mean_inactive_increment_status,mean_score_gap_mean,mean_score_gap_ci_lower,mean_score_gap_ci_upper,mean_score_gap_n_finite,mean_score_gap_status,frequency_auc_mean,frequency_auc_ci_lower,frequency_auc_ci_upper,frequency_auc_n_finite,frequency_auc_status,score_auc_mean,score_auc_ci_lower,score_auc_ci_upper,score_auc_n_finite,score_auc_status,matched_pair_misordering_mean,matched_pair_misordering_ci_lower,matched_pair_misordering_ci_upper,matched_pair_misordering_n_finite,matched_pair_misordering_status
0.5,0.4,30,0.4998676989456436,0.4965317363149365,0.5031759333826765,30,ok,0.39989999999999987,0.39714166666666667,0.4024583333333333,30,ok,0.009295862981432923,0.009189383230985587,0.009405712317943814,30,ok,0.023092472920377062,0.022840173150501124,0.02334776519497555,30,ok,0.00010515013027211358,-1.2176560564617138e-05,0.00021960885877478595,30,ok,0.36124577601629315,0.3490423628971242,0.3735960406972757,30,ok,0.0,0.0,0.0,30,ok,0.8252065833333332,0.8159586625000002,0.8344495895833334,30,ok,0.17506666666666668,0.16590000000000005,0.18413416666666663,30,ok
0.5,0.5,30,0.5010840588217235,0.4983517813171792,0.5039305811833426,30,ok,0.5010916666666667,0.498325,0.5039333333333333,30,ok,0.00802486769976332,0.00792042324360565,0.008128414247204173,30,ok,0.015936606911389664,0.01573748580156211,0.016123944258262315,30,ok,8.103965067825693e-05,-6.880359428422478e-05,0.00023023937145266247,30,ok,-0.004922415538441615,-0.016718479169468944,0.007154693479552735,30,ok,0.0,0.0,0.0,30,ok,0.49793646666666663,0.4848967366666667,0.5114877849999999,30,ok,0.5014,0.48834999999999995,0.5141004166666666,30,ok
0.5,0.6,30,0.5040139345877914,0.501835882091509,0.5062206903387911,30,ok,0.6018166666666666,0.5992416666666667,0.6044833333333334,30,ok,0.0070654557980635285,0.006955502176387893,0.00716629241285438,30,ok,0.0117018359971472,0.011550590233145313,0.011858553834655013,30,ok,5.714287611183262e-05,-0.00010047152887792357,0.00020663505296392422,30,ok,-0.185308035736058,-0.19477929734104393,-0.17569170234860318,30,ok,0.0,0.0,0.0,30,ok,0.2950315608333333,0.28500918281250004,0.30576958531250004,30,ok,0.7035666666666667,0.6928000000000001,0.7142833333333333,30,ok
0.5,0.7,30,0.4986596723894092,0.4969037828083991,0.5003634927901129,30,ok,0.6998833333333334,0.6974331249999998,0.7023585416666667,30,ok,0.006170325365991867,0.006061863800669854,0.0062760864657540275,30,ok,0.008805057415260898,0.00866814865637264,0.008945199742865579,30,ok,2.7240046569454686e-05,-0.00013431142920570927,0.00017638487748587787,30,ok,-0.28364974882830574,-0.29236824604116535,-0.27436716420726026,30,ok,0.0,0.0,0.0,30,ok,0.1881294525,0.18068512170833334,0.19613357922916666,30,ok,0.8110999999999999,0.8032666666666667,0.8184666666666665,30,ok
0.5,0.8,30,0.5006287039129613,0.49919187003562415,0.5021603741093813,30,ok,0.8010166666666666,0.7986500000000001,0.8035499999999999,30,ok,0.005568549162560327,0.00547038865830969,0.005663413260676019,30,ok,0.006941005588711356,0.006814965163289012,0.007059646972950866,30,ok,4.6843688739487174e-05,-0.00014955496889841081,0.00023840728318172936,30,ok,-0.3337609688052778,-0.34132307450588767,-0.32586288443063055,30,ok,0.0,0.0,0.0,30,ok,0.13726195833333332,0.13084640729166666,0.14398928541666667,30,ok,0.8639166666666667,0.8569333333333334,0.87105,30,ok
0.5,0.9,30,0.49552511078043854,0.4945683219775244,0.496501821014034,30,ok,0.9009666666666665,0.8992666666666669,0.9026916666666666,30,ok,0.004924248571260128,0.004809279725578801,0.0050313860025705546,30,ok,0.005452316315015012,0.005323067882137942,0.005572094247486291,30,ok,0.00012660269532779197,-0.00010378378297649574,0.0003389355262798531,30,ok,-0.35446976154850646,-0.36301807259902236,-0.3457224834874243,30,ok,0.0,0.0,0.0,30,ok,0.11830749000000002,0.11312392591666667,0.12342222708333332,30,ok,0.8806333333333335,0.8752166666666666,0.8861166666666667,30,ok
0.5,1.0,30,0.4999935361871498,0.49987722838668,0.5001045083754017,30,ok,1.0,1.0,1.0,30,ok,0.004582796311187633,0.004478092297491597,0.004684994836899143,30,ok,0.004582796311187633,0.0044787748638809195,0.004685811096745555,30,ok,,,,0,not_applicable,-0.3655397628270475,-0.37390389908736577,-0.3570938298585581,30,ok,0.0,0.0,0.0,30,ok,0.10318856666666669,0.09844053500000001,0.10792115666666666,30,ok,0.8954666666666667,0.8913000000000003,0.89973375,30,ok
0.75,0.1,30,0.7516701904481267,0.738203609946207,0.7650823728575299,30,ok,0.10022500000000001,0.09837500000000002,0.10205,30,ok,0.018130635211882663,0.017770468430650655,0.018489805735874273,30,ok,0.18044493539209386,0.17986721379182816,0.18103153238529457,30,ok,5.1452491329328624e-05,-4.296745666259168e-05,0.00014302747089982098,30,ok,18.802606333826876,18.46108636212942,19.14526918815343,30,ok,0.001419916666666664,0.0006849083333333308,0.002384385416666658,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
0.75,0.2,30,0.74717555379844,0.7399267124178625,0.7542385153099865,30,ok,0.19925,0.197325,0.20117520833333338,30,ok,0.019894856360411498,0.019660314121830332,0.0201271726700791,30,ok,0.09959953697301667,0.09922095286116425,0.09997161386837515,30,ok,6.367541921902121e-05,-4.339721962689841e-05,0.00016544539870089528,30,ok,8.725535254484267,8.64138555816168,8.808118259134215,30,ok,0.0005519166666666627,0.0003641614583333251,0.0007932916666666673,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
0.75,0.3,30,0.749343182322968,0.7428733374703881,0.7554487438233101,30,ok,0.2997416666666667,0.2972000000000001,0.30219999999999997,30,ok,0.018903021254867737,0.01872030930950245,0.01908364640472909,30,ok,0.06288243862697135,0.0626208163405671,0.06313206404557535,30,ok,8.043695866649004e-05,-3.035964873953612e-05,0.0001862732638612381,30,ok,4.51743702728687,4.480445966176968,4.554072556619045,30,ok,0.000507999999999992,0.00037282916666665176,0.0006560020833333294,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
