horizon,empirical_gap_mean,empirical_gap_ci_lower,empirical_gap_ci_upper,predicted_gap_mean,predicted_gap_ci_lower,predicted_gap_ci_upper,pair_error_mean,pair_error_ci_lower,pair_error_ci_upper
111,0.4926820841811944,0.46000904,0.52450293,0.4640277201714748,0.46182835,0.46633387,0.005666666666666668,0.003916667,0.008066666
112,0.49651282975833944,0.46308395,0.5288167,0.46820815008292965,0.46598896,0.47053507,0.005500000000000001,0.0037166667,0.007916667
113,0.5039438313168443,0.47027147,0.5360903,0.4723885799943843,0.47014958,0.47473627,0.0047166666666666685,0.0034,0.006233333
114,0.509497388692026,0.47637317,0.5411299,0.47656900990583895,0.4743102,0.47893748,0.004333333333333336,0.0030666667,0.0057833334
115,0.5122038906317631,0.48055646,0.54315376,0.48074943981729373,0.4784708,0.48313868,0.004433333333333334,0.003,0.0061333333
116,0.5157615647241759,0.48449653,0.5461277,0.4849298697287484,0.48263142,0.4873399,0.004133333333333334,0.0028166666,0.0056166667
117,0.5187831554460541,0.48679113,0.5499586,0.4891102996402032,0.48679206,0.49154112,0.004066666666666668,0.00275,0.00555
118,0.5217291083974949,0.48952743,0.5535678,0.4932907295516578,0.49095267,0.49574232,0.004083333333333335,0.0027666667,0.0055333334
119,0.5262777249105703,0.49403274,0.5579689,0.49747115946311254,0.49511328,0.49994352,0.0040500000000000015,0.0027666667,0.0055166665
120,0.5320259435818309,0.5009285,0.5629772,0.5016515893745673,0.4992739,0.5041447,0.003916666666666668,0.0027666667,0.005266667
121,0.5374701217805035,0.5073819,0.56706977,0.505832019286022,0.5034345,0.50834596,0.003750000000000001,0.00265,0.0050833332
122,0.5432762071739469,0.51320994,0.57270914,0.5100124491974767,0.5075951,0.51254714,0.0034833333333333344,0.0024666667,0.00475
123,0.5453305654152737,0.51546866,0.5750406,0.5141928791089315,0.5117557,0.51674837,0.003466666666666668,0.00255,0.0045333332
124,0.55192028117638,0.5225335,0.581215,0.5183733090203861,0.51591635,0.5209496,0.0031166666666666678,0.0023166668,0.004033333
125,0.556730674357685,0.5286888,0.5854603,0.5225537389318411,0.52007693,0.5251508,0.003033333333333334,0.0023,0.0038004168
126,0.5612275719622979,0.5329084,0.5897536,0.5267341688432958,0.5242376,0.529352,0.0029000000000000007,0.0022,0.0036337501
127,0.5634062517263714,0.5350408,0.5921522,0.5309145987547504,0.52839816,0.5335532,0.0029000000000000007,0.0022,0.00365
128,0.5722949339894837,0.54497,0.5998851,0.5350950286662052,0.5325588,0.5377544,0.0027833333333333343,0.0020833334,0.0035833332
129,0.5777712501166126,0.54935706,0.60661113,0.5392754585776599,0.5367194,0.5419556,0.0027666666666666673,0.0020666667,0.0035666667
130,0.5837063458655827,0.5550644,0.6124984,0.5434558884891147,0.54088,0.5461568,0.0027000000000000006,0.00195,0.0035333333
131,0.5856827822831486,0.55664235,0.61468744,0.5476363184005693,0.54504067,0.550358,0.002666666666666667,0.0019,0.0035166666
132,0.5890861336676337,0.559491,0.6181528,0.5518167483120241,0.54920125,0.55455923,0.0026166666666666673,0.0018166667,0.0034833334
133,0.5925695534825849,0.56292343,0.62221175,0.5559971782234788,0.5533619,0.5587604,0.002616666666666667,0.0018166667,0.0035
134,0.5974036618717046,0.5674191,0.62794966,0.5601776081349336,0.5575225,0.56296164,0.0024166666666666664,0.0016833333,0.00325
135,0.6026002162374945,0.57228386,0.63317883,0.5643580380463882,0.5616831,0.5671628,0.0023833333333333337,0.0016166667,0.0032333334
136,0.6034497815273989,0.5730159,0.6340262,0.5685384679578429,0.5658437,0.57136405,0.0024,0.0016333334,0.00325
137,0.6067120689271538,0.5764809,0.63709116,0.5727188978692977,0.57000434,0.5755653,0.0023833333333333337,0.0016166667,0.0032333334
138,0.6125422739992615,0.5813567,0.64395523,0.5768993277807525,0.5741649,0.57976645,0.0022833333333333334,0.0015666666,0.0030833334
139,0.6149803059818758,0.5838334,0.64647496,0.5810797576922071,0.57832557,0.5839677,0.0022,0.0014666667,0.0030166667
140,0.6174177095283068,0.5859993,0.6486237,0.5852601876036618,0.58248615,0.58816886,0.0022,0.0014833333,0.0030166667
141,0.6194460525841927,0.5882085,0.6506787,0.5894406175151167,0.5866468,0.5923701,0.0021166666666666673,0.0014166667,0.0029166667
142,0.6253730299315549,0.5940596,0.6564887,0.5936210474265713,0.59080744,0.59657127,0.0020833333333333337,0.0013833334,0.0029
143,0.6311529510995003,0.5998523,0.6629634,0.597801477338026,0.594968,0.6007725,0.0019333333333333336,0.00125,0.0027333333
144,0.6401431270263388,0.60921836,0.6721534,0.6019819072494808,0.59912866,0.6049737,0.001766666666666667,0.0011333333,0.0025
145,0.6441270072486802,0.6130291,0.67646617,0.6061623371609355,0.60328925,0.6091749,0.0017000000000000003,0.0011,0.0024166666
146,0.6459842707936888,0.61491334,0.6781834,0.6103427670723904,0.6074499,0.6133761,0.0016833333333333338,0.0010833333,0.0024
147,0.6494227182892692,0.61770487,0.68212,0.614523196983845,0.6116105,0.6175773,0.0016833333333333338,0.0010666667,0.0024166666
148,0.6538558757932132,0.62241834,0.686251,0.6187036268952998,0.6157711,0.6217785,0.0016500000000000002,0.0010329167,0.0023833334
149,0.6598153537890495,0.6288023,0.69264996,0.6228840568067544,0.6199317,0.6259797,0.0015833333333333335,0.0009833333,0.0022833333
150,0.6643691128312164,0.6319827,0.6986178,0.6270644867182092,0.62409234,0.6301809,0.0016166666666666669,0.0010166666,0.0023166668
151,0.6665339877138882,0.63450086,0.700234,0.631244916629664,0.628253,0.6343821,0.001416666666666667,0.00093333336,0.00195
